,apk_hash,base,global_centrality,local_centrality,data_driven,random
0,f4dfbe13348a777b7dfda173a1479fb3,18,6,,8,8
1,d1dc38f340fd3beafb6ece9905f0f862,1,0,,0,0
2,c95e33386122d3f1c14f3c066e7755c6,9,6,,6,6
3,62466d7b76a1858d7468e8aaf0d8ad64,1,0,,0,0
4,d3c9c7d211733789b918e7242996d54e,1,0,,0,0
5,2c71a1f98fa3b9ceade672f1895548af,0,0,,0,0
6,791c37531947df32c92845cbdee68f5d,1,0,,0,0
7,def1b63c73c7f8f3ce8e07f2d50380ac,6,4,,4,4
8,4637135448a6883b1a0300e81e94e9a4,1,0,,0,0
9,2077d18e7d844919be43d3ebd9df85b6,0,0,,0,0
10,7041af61162329c4e2022d82939a2d2d,18,6,,8,8
11,32033ab27ea8cb3ec0564383e9a41b1e,3,0,,2,2
12,a60d162d8f1e934067fdd3583eb0dd71,1,0,,0,0
13,d29ecf6dd7e575f0312fec13c621523d,8,2,,2,2
14,fc5cdca8fd3302403df02886c33eb8d2,0,0,,0,0
15,4fdfaeb0ec7b403bd88f8d254fa83930,51,31,,25,25
16,1a5956351b6fa5c08fc0156c20fea657,1,0,,0,0
17,f2daeb7e6ad071cece246322d1ce0e14,8,2,,2,2
18,a090f7946527b1cfd60033c3a2c86fa5,1,0,,0,0
19,7b7a005efcf125d607fe22dc780dad17,2,0,,0,0
20,e80dcd1f0fff9f92eb1093d455437cdb,0,0,,0,0
21,0cf4a5cd2dd199f3dc6d86aa6f4cae28,5,0,,0,0
22,30ada0de7953ad3fc4a42d78b28ae196,6,4,,4,4
23,19901bd14616165b086fb980e3fcc7e6,1,1,,1,1
24,a8ea1a24d141028f3e770425c611a0ba,0,0,,0,0
25,e6448263ca2b796225da6feb0030f0b2,3,0,,2,2
26,afce2cbecb42460150ef080bba2a709a,3,0,,2,2
27,aa8dbfacd2741efa9a0634c44123c79f,1,0,,0,0
28,a773f8bb646fc86013e5a99f814912aa,1,1,,1,1
29,4bf55b7b6649d2fd8e6ec79c00e8b3fc,1,0,,0,0
30,b99b1d577ee5ca462f600f20809c988d,1,0,,0,0
31,085ea00032083b487f8d641419666ab7,2,0,,0,0
32,990c74d99d0d5478fa876015b4fa23d9,2,0,,0,0
33,8395b6a5c038e80dc4243f7c68261f77,1,0,,0,0
34,6134299a60c322a4d2b2169c694f2a89,1,0,,0,0
35,8804eb2771fbe009a617c1ca36641fcd,1,0,,0,0
36,8b7121d943c51e4d7600e9475727a96c,0,0,,0,0
37,63914982496ae09defe7dc10b9b0be80,1,1,,1,1
38,72a1dad8aa94b4e43b694e247237f736,0,0,,0,0
39,aac8dbd1193600a05b64c9366cadd4b8,0,0,,0,0
40,c7db8788969fd41df963720841ea8332,1,0,,0,0
41,2324b42a23b537a2eea37ed8d7b9c2ec,2,0,,0,0
42,e75726c18888af1a8fc109738694727a,2,0,,0,0
43,206cd09704a76824363a3b51e37cb931,1,0,,0,0
44,751cfefc00df938af1a3e94da9b760e5,1,0,,0,0
45,6774a858694effd686568f69450f094d,4,1,,1,1
46,313910dd0d42419d6a69dcadce29c1a9,1,0,,0,0
47,6794a570b8ebfbaa5f596eda3639ef56,0,0,,0,0
48,d1adefef0e953937ee552c2c52e27833,0,0,,0,0
49,a343cf375a05f8d9195969fb8b937817,2,0,,0,0
50,4c9929d6f6e42027916f79253ecc0769,1,1,,1,1
51,1b9211d50114c0388dce8fac36edae97,3,0,,2,2
52,afa28a7a774669026ea8a15ebbd2b081,3,0,,2,2
53,6e1a62af0459962467585561ad1db074,1,0,,0,0
54,a1b2b12e512e64f685a641801c4b79bb,1,0,,0,0
55,604f1ee038c2fad1eab898ef885f58aa,0,0,,0,0
56,caef74e1b0c056c895c32bee334284bc,2,0,,0,0
57,13241610a60b903fcb3f67ec28597177,3,0,,2,2
58,d2217ebaf09b4d6852e63648f35837ba,1,0,,0,0
59,82fb6f6893db38d49c0031089a8b3a5d,23,10,,17,12
60,fd78f0977d359d84491e8ce354dfa29a,2,0,,0,0
61,aa6d67d417c52c56b81841382387055b,1,0,,0,0
62,f2a12bd4d4648795b18365f4ec08ed8d,1,0,,0,0
63,6cbae4aa07af89bc8ca76f45966dcf17,3,0,,2,2
64,b8ad03c965c1a1bd6c72da4e15bc65ee,2,0,,0,0
65,7bce78704c352b3ed8a7326333a915bd,1,0,,0,0
66,8bb502db26dac5fe949cfba9cb912322,442,135,,128,128
67,d5232a3930bc8dcdbcade8ea17a08730,8,2,,2,2
68,8dced227b0da6565d57c2d5ac45f73e2,9,4,,4,4
69,90625366e6f68e33096b551cdbfb2d4b,4,4,,4,4
70,19f88acd7574130b8f66966322a1716c,1,1,,1,1
71,1360dc83bf570cbec288e9bd99626331,1,0,,0,0
72,1f94362ab9df349475369863497e0f8e,1,0,,0,0
73,cc0587d78135a870443daadd58954d61,18,6,,8,8
74,c7afee947c9c019eec9da227b3fc4148,20,5,,5,5
75,0f58c8fcce4504d9e4219fd37ddde801,1,0,,0,0
76,a2ac2224c8dc25e725de41f4bd43193e,1,0,,0,0
77,afb80714081b9c0302c15f8b092d9136,2,0,,0,0
78,d4f7398758427035814b4a3164ba203a,0,0,,0,0
79,df145a07c9e51679a2bee7926334ccd1,0,0,,0,0
80,04adb0b967554205f702d04937d42efd,2,0,,0,0
81,56b4ac19592e56c3400d46bea262948b,10,0,,5,5
82,a3b9641477044183ca3077ee7b03dce5,9,6,,6,6
83,4dae482a8390874b71eb131e3d069e64,1,0,,0,0
84,4b684467bcf53d6fb6ef8e23376f150a,1,1,,1,1
85,c6a8084dd9a6a2c63a92f554e86ca65b,18,6,,8,8
86,615aa566f8b3d3911f40a5c1bfad013c,1,0,,0,0
87,c0b116bccf8a02f817ad43877f1e580d,1,1,,1,1
88,cbefee23400626640ca5f1ac4ce36642,1,0,,0,0
89,384002ff39b2c11fc64c472b3751c5d7,9,6,,6,6
90,f77ef92ac15f73fee6adf42c546263fe,1,0,,0,0
91,54fba02fe45c2a9ab6cdfa89e355d8f8,3,0,,2,0
92,069dcf147cc362b3dc2e9c1eda1e30c6,8,2,,2,2
93,d89abecaf44375d10933f8da58d6fbbe,3,0,,2,2
94,65be4a9561fe50c484b09869dd7d6ab6,1,0,,0,0
95,47cbfb96ca362791e090dd4478802474,1,0,,0,0
96,92cd642d00e954e80519f22dd2c22fdb,6,3,,4,4
97,2a6ef95694a596058ac95d15c1b5616c,0,0,,0,0
98,ed268b529c2daa22654af87350d87f5a,1,0,,0,0
99,6d3c7e7b5c3b7fd4054cee4ee5702cf2,1,0,,0,0
100,07cd52d682c4fe2d5e9a2403dc688abb,1,0,,0,0
101,756f1167885ceee834d88c98a86d32bb,1,0,,0,0
102,e1fbf238df606559f9961e34103da291,8,2,,2,2
103,c299ed7925d610262dec8b7779175db8,0,0,,0,0
104,17c4da1af1a1009b4b87ebd7d288dde9,6,4,,4,4
105,89c9bb5301e5fbaeb054d0be0b389508,10,5,,4,4
106,088f5dccbbb8d339573987ce86dc35ab,1,1,,1,1
107,6d91b0a06bd7675c8880f776bd930ba9,1,1,,1,1
108,8f54f88b6ed9a18f44b7eb16157444d6,8,2,,2,2
109,fce04d5525827a4de6fab83400811b00,106,40,,24,40
110,d75cf2887f8ea0e10ba397aaf3b4289f,1,0,,0,0
111,234adc92658ed1fb04e2ad1c2e0aaeb5,0,0,,0,0
112,9120c683a661eed008bd3bae0f6216d6,21,5,,5,5
113,fcc9191e608625fd3f0a64e933aae26b,1,0,,0,0
114,96f6afa0f2cd2d8054450aead571b74e,1,0,,0,0
115,07746c13ef6842a2e2605636aa7ab365,1,0,,0,0
116,e5e655d8730bd24c17de9ae7b237ae24,1,1,,1,1
117,399f68aee9b27791c1f8aeb04f3c919a,1,0,,0,0
118,e10360e06906248e11b308de3169d3b5,2,0,,0,0
119,2a44ab99e1b18bc6379abd86d6f5bb04,1,0,,0,0
120,84496a5094ba226de20df626e36ec59a,5,0,,0,0
121,86f2527f0cd493a91889151140ba3d76,6,4,,4,4
122,d33643ee2b017e2e82f4181009c902ca,1,0,,0,0
123,208d13a26d1eec265da861dbe8564660,2,2,,2,2
124,afd966327e25ff47ee2df75cea1d0059,1,0,,0,0
125,e1c58f989659839dab9d24af69d0641f,1,0,,0,0
126,d9c950510b001f3d5d8dbd66cfa34df6,1,0,,0,0
127,ed0a063b0f17add84358bd72985f6889,1,0,,0,0
128,ba7cfd884929c88ceaf54743f1760a78,1,0,,0,0
129,46944a1ad57b6689efc7b03d4b5bf98e,0,0,,0,0
130,7f0816fc8595630faaf50a1442ca57ac,1,0,,0,0
131,e9bf9e34b6183596fa7fff222cf272b6,2,0,,0,0
132,74976d46aa7a7f44cdc8cdd3bae388ad,6,6,,6,6
133,471f83f2f2f5e29635fc5ef01be53016,2,0,,0,0
134,202321a5b5e2ff12e74e2892b4a0768f,2,0,,0,0
135,fe079a743fcfbba8504dcf5f51fbde83,4,4,,4,4
136,25656f7ce9a91ab4d1a7f98b1bfd2901,2,0,,0,0
137,5585a7c666ad31246391d2d756f32451,4,4,,4,4
138,e66d4d004308d33aea686ad67fa3e6c2,2,0,,0,0
139,a87eaeae546a5135969f8037ed6cd60d,2,0,,0,0
140,bdb6358270540829f078dc5bdc6c88cb,1,0,,0,0
141,cce06d8907f9c95c9dd34aef38968439,8,2,,2,2
142,c4f8c17a03324459341992414fd8c634,1,0,,0,0
143,8836c2da63b6ac7e1c89647b921a7105,1,0,,0,0
144,ce5e98210fbff2503b6e80277ccad415,7,0,,0,0
145,f458747745cf192a90eac08f9320cf8d,1,0,,0,0
146,f8880c6efbf97baef425dac035187a8b,2,0,,0,0
147,efd77ccefeb902108c5dfdb76ab80858,1,0,,0,0
148,5250376dae212fa14886156404794501,1,0,,0,0
149,17e24feab41b824f77d98347810e1b2f,36,16,,16,16
150,9255baf3b4af8036e90196aaae8e2e1f,0,0,,0,0
151,19ab593902b121a1afc0109c302f7b87,1,0,,0,0
152,f8a97381cd19ad64f7d90e913fecd1e3,2,0,,0,0
153,014d8e731902a3540fe21350d4153de1,8,2,,2,2
